,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
17,Por Una Cabeza,Por Una Cabeza,بور أونا كابيزا,一步之遥,一步之遙,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por una Cabeza,Por Una Cabeza,पोर ऊना कैबेजा,Por Una Cabeza,Por una cabeza,간발의 차이,ポル・ウナ・カベーサ,Por Una Cabeza,Por Una Cabeza,Por una cabeza,Por Una Cabeza,Por Una Cabeza,Пор Уна Кабеса,Por una Cabeza,Por una cabeza,Por Una Cabeza,Bir Kafa,Bir Kafa,Por una cabeza
18,Moments Musicaux,Moments Musicaux,لحظات الموسيقى,音乐瞬间,音樂瞬間,Momenten Musicaux,Moments Musicaux,Moments Musicaux,Moments musicaux,Moments Musicaux,मोमेंट्स म्यूजिकॉक्स,Momen Musicaux,Momenti Musicaux,악흥의 순간,楽興の時,Moments Musicaux,Øyeblikk Musicaux,Chwile muzykaux,Momentos musicaux,Momentos musicaux,Музыка мгновенно,Momentos musicaux,Moments Musicaux,ช่วงเวลา Musicaux,Anlar Musicaux,Müzik Anları,Khoảnh khắc Musicaux
19,Korobeiniki,Korobeiniki,الباعة المتجولين,卖货郎,賣貨郎,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,The Peddlers,korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,コロブチカ,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Коробейники,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki
20,Waltz Op.64 No.1,Waltz Op.64 No.1,الفالس No.1 Op.64,小狗圆舞曲,小狗圓舞曲,Waltz Op.64 Nr. 1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 Nr.1,वाल्ट्ज ओप .64 नंबर 1,Waltz Op.64 No.1,Waltz Op.64 No.1,강아지 왈츠,子犬のワルツ,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 nr 1,Waltz Op.64 No.1,Waltz Op.64 No.1,Вальс Op.64 №1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Vals Op.64 No.1,Waltz Op.64 No.1
21,Dance of the Sugar Fairy,Dance of the Sugar Fairy,رقصة الجنية السكر,糖果仙子之舞,糖果仙子之舞,Dans van de suikerbrook,Dance of the Sugar Fairy,The Sugar Fairy -tanssi,Dance of the Sugar Fairy,Dance of The Sugar Fairy,चीनी परी का नृत्य,Dance of the Sugar Fairy,Dance of the Sugar Fairy,사탕 요정의 춤,金平糖の精の踊り,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Dança da fada do açúcar,Dança da fada do açúcar,Танец сахарной феи,Danza del hada de azúcar,Dans of the Sugar Fairy,Dance of the Sugar Fairy,Şeker perisinin dansı,Şeker Perisi Dansı,Dance of the Sugar Fairy
22,The Swan,The Swan,البجعة,天鹅,天鵝,De Zwaan,The Swan,Joutsen,Le cygne,Der Schwan,हंस,Angsa,Il Cigno,The Swan,白鳥,Angsa,Svanen,Łabądź,O cisne,O cisne,Лебедь,El Cisne,Svanen,หงส์,Kuğu,Kuğu,Thiên nga
23,Prelude in C Major No.1,Prelude in C Major No.1,مقدمة في سلم دو الكبير No.1,C大调前奏曲No.1,C大調前奏曲No.1,Prelude in C Major No.1,Prelude in C Major No.1,Prelude C -majuri nro 1,Prélude en C Major No.1,Prelude in C-Dur Nr.1,सी प्रमुख नंबर 1 में प्रस्तावना,Prelude in C Mayor No.1,Preludio in C Maggiore n. 1,프렐류드,プレリュード 第1番 ハ長調,Prelude di C Major No.1,Prelude in C Major No.1,Preludium w C -maja nr 1,Prelúdio em C Major No.1,Prelúdio em C Major No.1,Прелюдия до мажор №1,Preludio en C Mayor No.1,Prelude i C Major No.1,โหมโรงใน C Major No.1,C Major No.1'de Prelude,C Majör Prelüd No.1,Mở đầu trong C chính số 1
24,Tritsch Tratsch Polka,Tritsch Tratsch Polka,رقصة البولكا,闲聊波尔卡,閑聊波爾卡,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch पोल्का,Tritsch Tatsch Polka,Tritsch Tratsch Polka,트리치 트리치 폴카,トリッチ・トラッチ・ポルカ,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tratsch Tratsch polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Полька Тритш-Тратш,Tratsch tratsch polka,Tritsch tratsch polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch polka
25,Cancan,Cancan,كان كان,康康舞曲,康康舞曲,Kan kan,Cancan,Cancan,Cancan,Cancan,कर सकते हैं,Bisa bisa,Posso posso,캉캉,カンカン,Boleh,Kan kan,Może może,"Pode, pode","Pode, pode",Канкан,Cancán,Cancan,สามารถ,Kanser,Cancan,Cancan
26,Sonata in D Major K311,Sonata in D Major K311,سوناتا في سلم ري الكبير K311,D大调奏鸣曲K311,D大調奏鳴曲K311,Sonata in D Major K311,Sonata in D Major K311,Sonaatti d Major K311,Sonate en D Major K311,Sonata in D-Dur K311,डी मेजर के 311 में सोनाटा,Sonata di D Mayor K311,Sonata in D Major K311,Sonata in D Major K311,ピアノソナタ ニ長調 K311,Sonata di D Major K311,Sonata i D Major K311,Sonata w d mgier k311,Sonata em D Major K311,Sonata em D Major K311,Соната ре мажор K311,Sonata en D Major K311,Sonata i D Major K311,Sonata ใน D Major K311,D Major K311'de Sonata,D Majör Sonatı K311,Sonata trong D Major K311
27,Symphony No.40 in g,Symphony No.40 in g,السيمفونية No.40 في سلم صول الصغير,g小调第四十交响曲,g小調第四十交響曲,Symphony No.40 in G,Symphony No.40 in g,Sinfonia nro 40 G: ssä,Symphonie n ° 40 en g,Symphonie Nr.40 in G,जी में सिम्फनी नंबर 40,Simfoni No.40 di G,Sinfonia n. 40 in G,교향곡 40번,交響曲 第40番,Symphony No.40 dalam G,Symfoni nr.40 i G,Symfonia nr 40 w g,Sinfonia No.40 em G,Sinfonia No.40 em G,Симфония №40,Symphony No.40 en G,Symfoni nr.40 i g,Symphony No.40 ใน G,G'de Senfoni No.40,G minör Senfoni No.40,Bản giao hưởng số 40 trong G
28,G minor Bach,G minor Bach,سلم صول الصغير لباخ,g小调巴赫,g小調巴赫,G Minor Bach,G minor Bach,G Minor Bach,G mineur bach,G Minor Bach,जी माइनर बाख,G Bach Minor,G minore Bach,G minor Bach,フーガ ト短調 バッハ,G kecil Bach,G Mindre Bach,G Minor Bach,G Minor Bach,G Minor Bach,G минор Бах,G menor bach,G Mindre Bach,G เล็กน้อย bach,G minör Bach,G minör Bach,G Bach nhỏ
29,Sonatina Op.36 No.3,Sonatina Op.36 No.3,السوناتينا No.3 Op.36,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36 Nr. 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina OP.36 No.3,Sonatina Op.36 Nr.3,सोनटिना ओप .36 नंबर 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,소나티네 Op.36 36번,ソナチネ Op.36-3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina op. 36 nr 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Сонатина Op.36 №3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 số 3
30,Etude Op.299 No.39,Etude Op.299 No.39,القطعة الموسيقية No.39 Op.299,车尔尼Op.299-39,車爾尼Op.299-39,ETUDE OP.299 No.39,Etude Op.299 No.39,Etude Op.299 No.39,Etude OP.299 n ° 39,Etude Op.299 Nr.39,Etude op.299 No.39,Etude Op.299 No.39,Etude op.299 n. 39,체르니 연습곡,練習曲 Op.299-39,Etude Op.299 No.39,Etude Op.299 No.39,Etude op.299 nr 39,Etude Op.299 No.39,Etude Op.299 No.39,Этюд Op.299 №39,Etude Op.299 No.39,Etude Op.299 No.39,Etude op.299 No.39,Erude op.299 No.39,Etüd Op.299 No.39,Etude Op.299 No.39
31,Sonata in C Major K545,Sonata in C Major K545,سوناتا في سلم دو الكبيرK545,C大调奏鸣曲K545,C大調奏鳴曲K545,Sonate in C Major K545,Sonata in C Major K545,Sonaatti C Major K545: ssä,Sonate en C Major K545,Sonata in C-Dur K545,सी मेजर K545 में सोनाटा,Sonata di C Mayor K545,Sonata in C maggiore K545,C장조 소나타 K545,ピアノソナタ ハ長調 K.545,Sonata di C Major K545,Sonata i C Major K545,Sonata w C -dur K545,Sonata em C Major K545,Sonata em C Major K545,Соната до мажор K545,Sonata en C Major K545,Sonata i C Major K545,Sonata ใน C Major K545,C Major K545'te Sonata,C Majör Sonatı K545,Sonata trong C chính K545
32,Csikos Post,Csikos Post,سيكوس بوست,邮递马车,郵遞馬車,Csikos Post,Csikos Post,CSIKOS POST,CSIKOS POST,Csikós Post,Csikos Post,Posting CSIKOS,Csikos Post,크시코스의 우편마차,クシコスポスト,CSIKOS POST,Csikos Post,CSIKOS Post,CSIKOS POST,CSIKOS POST,Почтовая повозка,Csikos Post,Csikos post,โพสต์ csikos,Csikos Post,Csikos Post,Bài viết Csikos
33,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,يين كلين ناختموسيك,G大调小夜曲No.1,G大調小夜曲No.1,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine kleine Nachtmusik,ईने क्लेन नचटमुसिक,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,소아곡,アイネ・クライネ・ナハトムジーク,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,EINE KLEINE NACHTMUSIK,EINE KLEINE NACHTMUSIK,Серенада соль мажор,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Küçük Gece Müziği,Küçük Gece Müziği,Eine Kleine Nachtmusik
34,The Fountain,The Fountain,نافورة,喷泉,噴泉,De fontein,The Fountain,Lähde,La fontaine,Der Brunnen,फव्वारा,Air mancur,La fontana,분수,ファウンテン,Air pancut,Fontenen,Fontanna,A fonte,A fonte,Фонтан,La fuente,Fontänen,น้ำพุ,Çeşme,Çeşme,Đài phun nước
35,Etude Op.10 No.4,Etude Op.10 No.4,القطعة الموسيقية No.4 Op.10,激流练习曲,激流練習曲,ETUDE OP.10 No.4,Etude Op.10 No.4,Etude op.10 nro 4,Etude Op.10 n ° 4,Etude Op.10 Nr.4,Etude op.10 No.4,Etude Op.10 No.4,Etude op.10 n. 4,추격,エチュード Op.10-4,Etude Op.10 No.4,Etude op.10 nr.4,Etude op.10 nr 4,Etude Op.10 No.4,Etude Op.10 No.4,Этюд Op.10 №4,Etude Op.10 No.4,Etude Op.10 No.4,Etude op.10 No.4,Erude Op.10 No.4,Etüd Op.10 No.4,Etude Op.10 No.4
36,Gypsy Rondo,Gypsy Rondo,الغجر روندو,吉普赛回旋曲,吉普賽迴旋曲,Gypsy Rondo,Gypsy Rondo,Gypsy Rondo,Gitan rondo,Gypsy Rondo,जिप्सी रोंडो,Gypsy Rondo,Gypsy Rondo,집시,ジプシー・ロンド,Gypsy Rondo,Gypsy Rondo,Cyganie Rondo,Gypsy Rondo,Gypsy Rondo,Цыганская рапсодия,Rondo gitano,Zigenare,ยิปซี rondo,Çingene Rondo,Çingene Rondosu,Gypsy Rondo
37,Spanish Dances,Spanish Dances,الرقصات الأسبانية,西班牙舞曲,西班牙舞曲,Spaanse dansen,Spanish Dances,Espanjalainen tanssit,Danses espagnols,Spanish Dances,स्पेनिश नृत्य,Tarian Spanyol,Balli spagnoli,스페인의 춤,スパニッシュダンス,Tarian Sepanyol,Spanske danser,Tańce hiszpańskie,Danças espanholas,Danças espanholas,Испанский Танцы,Bailes españoles,Spanska danser,เต้นรำสเปน,İspanyol dansları,İspanyol Dansları,Các điệu nhảy Tây Ban Nha
38,Prelude in E Major BWV 937,Prelude in E Major BWV 937,Prelude in E Major BWV 937,E大调小前奏曲,E大調小前奏曲,Prelude in e Major BWV 937,Prelude in E Major BWV 937,Prelude in E Major BWV 937,Prélude dans E Major BWV 937,Prelude in E Major BWV 937,ई प्रमुख BWV 937 में प्रस्तावना,Prelude in E Mayor BWV 937,Preludio in E maggiore BWV 937,Prelude in E Major BWV 937,プレリュード ホ長調 BWV937,Prelude di E Major BWV 937,Prelude in E Major BWV 937,Preludium w E Major BWV 937,Prelúdio em E Major BWV 937,Prelúdio em E Major BWV 937,Прелюдия ми мажор BWV 937,Preludio en E Major BWV 937,Förspel i E Major BWV 937,โหมโรงใน E Major BWV 937,E Major BWV 937'de Prelude,E Majör Prelüd BWV 937,Mở đầu trong E Major BWV 937
39,Sonata in A Major K331,Sonata in A Major K331,سوناتا في سلم لا الكبير K331,A大调奏鸣曲K331,A大調奏鳴曲K311,Sonate in een grote K331,Sonata in A Major K331,Sonaatti suuressa K331: ssä,Sonate dans un major K331,Sonata in A Major K331,एक प्रमुख K331 में सोनाटा,Sonata di K331 utama,Sonata in un importante K331,소나타 가단조,ピアノソナタ イ長調 K331,Sonata dalam k331 utama,Sonata i en større K331,Sonata w głównym K331,Sonata em um K331 importante,Sonata em um K331 importante,Соната ля мажор K331,Sonata en un importante K331,Sonata i en stor K331,Sonata ใน K331 ที่สำคัญ,Büyük bir K331'de Sonata,A Majör Sonatı K331,Sonata trong một K331 lớn
40,Hungarian Dance No.5,Hungarian Dance No.5,الرقصة الهنغارية No.5,匈牙利舞曲No.5,匈牙利舞曲No.5,Hongaarse dans nr. 5,Hungarian Dance No.5,Unkarin tanssi nro 5,Danse hongroise n ° 5,Ungarischer Tanz Nr.5,हंगेरियन डांस नंबर 5,Tarian Hongaria No.5,Danza ungherese n. 5,헝가리인의 춤 5번,ハンガリー舞曲 第5番,Tarian Hungary No.5,Ungarsk dans nr. 5,Węgierski taniec nr 5,Dança húngara No.5,Dança húngara No.5,Венгерский танец №5,Danza húngara No.5,Ungerska dans nr.5,การเต้นรำครั้งที่ 5 ของฮังการี 5,Macar dansı No.5,Macar Dansı No.5,Vũ điệu Hungary số 5
41,The Entertainer,The Entertainer,الفنان,演艺人,演藝人,De entertainer,The Entertainer,Viihdyttäjä,L'artiste,The Entertainer,मनोरंजन करने वाला,Penghibur,L'intrattenitore,엔터테이너,エンターテイナー,Penghibur,Underholderen,Artysta,O artista,O artista,Конферансье,El animador,Underhållaren,ผู้ให้ความบันเทิง,Şovmen,Eğlenceci,Các nghệ sĩ giải trí
42,Santa Lucia,Santa Lucia,سانتا لوسيا,桑塔露琪娅,桑塔露琪婭,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,सांता लूसिया,Santa Lucia,Santa Lucia,산타 루치아,サンタルチア,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Санта Лючия,Santa Lucía,Santa lucia,ซานตาลูเซีย,Aziz Lucia,Santa Lucia,Santa Lucia
43,Horse Racing,Horse Racing,سباق الخيل,赛马,賽馬,Paardenracen,Horse Racing,Kilparatsastus,Course de chevaux,Horse Racing,घुड़दौड़,Pacuan kuda,Corsa di cavalli,Horse Racing,二頭の馬の競走,Perlumbaan kuda,Hesteveddeløp,Wyścigi konne,Corrida de cavalo,Corrida de cavalo,Лошадиные скачки,Las carreras de caballos,Hästkapplöpning,การแข่งม้า,At yarışı,At Yarışı,Đua ngựa
44,American Patrol,American Patrol,دورية أمريكية,巡逻兵进行曲,巡邏兵進行曲,Amerikaanse patrouille,American Patrol,Amerikkalainen partio,Patrouille américaine,American Patrol,अमेरिकी गश्त,Patroli Amerika,Pattuglia americana,아메리칸 페트롤,アメリカン・パトロール,Patrol Amerika,Amerikansk patrulje,Amerykański patrol,Patrulha americana,Patrulha americana,Американский патруль,Patrulla estadounidense,Amerikansk patrull,ลาดตระเวนอเมริกัน,Amerikan devriyesi,Amerikan Devriyesi,Đội tuần tra Mỹ
45,Sonata No.34 - Finale,Sonata No.34 - Finale,سوناتا No.34 - خاتمة,海顿奏鸣曲No.34,海頓奏鳴曲No.34,Sonata No.34 - Finale,Sonata No.34 - Finale,Sonata No.34 - Finaali,Sonata n ° 34 - finale,Sonata Nr.34 - Finale,सोनाटा नंबर 34 - फिनाले,Sonata No.34 - Finale,Sonata n. 34 - Finale,Sonata No. 34 - Finale,ピアノソナタ第34番 -最終楽章,Sonata No.34 - Akhir,Sonata No.34 - Finale,Sonata nr 34 - finał,Sonata No.34 - Finale,Sonata No.34 - Finale,Соната №34,Sonata No.34 - Final,Sonata No.34 - Finale,Sonata No.34 - ตอนจบ,Sonata No.34 - Final,Sonata No.34 – Final,Sonata No.34 - Chung kết
46,Polka,Polka,البولكا,波尔卡,波爾卡,Polka,Polka,Polkka,Polka,Polka,पोल्का,Polka,Polka,폴카,ポルカ,Polka,Polka,Polka,Polca,Polca,Полька,Polca,Polka,โพลก้า,Polka,Polka,Polka
47,Minuet No.3,Minuet No.3,المينيويت No.3,小步舞曲No.3,小步舞曲No.3,Minuet nr. 3,Minuet No.3,Minuet nro 3,Minuet No.3,Menuett Nr.3,MINUET No.3,Minuet No.3,Minuet n. 3,Minuet No. 3,メヌエット 第3番,Minuet No.3,Minuet No.3,Minuet nr 3,Minuet No.3,Minuet No.3,Менуэт №3,Minueto No.3,Minuet nr 3,Minuet No.3,Minüet No.3,Minüet No.3,Minuet số 3
48,Radetzky March,Radetzky March,مسيرة راديتزكي,拉德斯基进行曲,拉德斯基進行曲,Radetzky maart,Radetzky March,Radezky maaliskuu,Radetzky March,Radetzky-Marsch,रेडेट्ज़की मार्च,March Radetzky,Radetzky March,Radetzky March,ラデツキー行進曲,Radetzky March,Radetzky mars,Radetzky March,Radetzky março,Radetzky março,Марш Радецкого,Marcha Radetzky,Radetzky March,Radetzky March,Radetzky Mart,Radetzky Marşı,Radetzky March
49,Carmen Overture,Carmen Overture,افتتاحية أوبرا كرمن,卡门序曲,卡門序曲,Carmen Overture,Carmen Overture,Carmenin alkusoitto,Carmen Overture,Carmen Overture,कारमेन ओवरचर,Carmen Overture,Carmen Overture,Carmen Overture,カルメン 序曲,Carmen Overture,Carmen Overture,Uwertura Carmen,Carmen Overture,Carmen Overture,Кармен Увертюра,Obertura de Carmen,Carmen -overture,คาร์เมนทาบทาม,Carmen Açılışı,Carmen Açılışı,Carmen Overture
